1 2 3
1 3 14
1 4 9
1 5 11
1 6 17
2 7 22
3 8 23
4 9 15
5 10 15
6 11 21
7 12 20
8 13 5
8 14 12
9 15 13
9 16 12
10 17 1
10 18 9
11 19 7
11 20 11
12 21 15
13 22 12
14 22 7
15 23 9
16 23 11
17 24 10
18 24 7
19 25 15
20 26 5
21 27 5
21 28 6
21 29 10
22 30 11
23 31 23
23 32 11
24 33 23
25 34 20
26 35 16
27 36 7
28 36 1
29 37 16
30 37 2
31 37 15
32 38 3
33 38 23
34 38 8
35 39 13
36 40 7
37 41 21
37 42 12
38 43 14
39 44 20
39 45 6
40 46 6
41 47 2
42 47 5
43 48 17
44 48 11
45 49 12
46 50 17
47 50 22
48 50 20
49 50 11
