1 2 3
1 3 3
1 4 2
1 5 2
1 6 9
2 7 2
2 8 2
2 9 3
3 10 2
3 11 1
3 12 8
3 13 9
3 14 9
4 15 7
4 16 9
4 17 1
4 18 2
4 19 3
5 20 2
5 21 9
5 22 6
5 23 5
6 24 7
6 25 6
6 26 2
6 27 6
6 28 7
7 29 5
8 30 3
9 31 7
10 32 4
11 33 6
12 34 6
13 35 9
14 36 9
15 37 5
16 38 3
17 39 8
18 40 9
19 41 8
20 42 2
21 43 4
22 44 9
23 45 2
24 46 6
25 47 2
26 48 6
27 49 6
28 50 8
29 51 2
30 52 7
31 53 4
32 54 5
33 55 6
34 56 2
35 57 5
36 58 6
37 59 1
38 60 3
39 61 2
40 62 4
41 63 2
42 64 6
43 65 7
44 66 7
45 67 5
46 68 3
47 69 7
48 70 7
49 71 2
50 72 2
51 73 8
52 74 6
53 75 2
54 76 7
55 77 6
56 78 5
57 79 4
58 80 2
59 81 5
60 82 5
61 83 6
62 84 3
63 84 2
64 85 4
65 86 6
66 87 6
67 88 6
68 89 4
69 90 1
70 91 3
71 92 2
72 93 1
73 94 4
74 95 1
75 96 7
76 97 7
77 98 8
78 99 3
79 100 4
80 101 1
80 102 1
81 103 6
82 104 4
83 105 9
84 106 1
85 107 1
86 108 3
87 109 5
88 110 2
89 111 8
90 112 2
91 113 1
92 114 5
93 115 5
94 116 1
95 117 8
96 118 9
97 119 7
98 120 4
99 121 6
100 122 8
101 123 5
102 124 6
103 125 6
104 126 2
105 127 6
106 128 6
107 129 4
108 130 8
109 131 7
110 132 3
111 133 2
112 134 5
113 135 7
114 136 5
115 137 6
116 138 5
117 139 7
118 140 3
119 141 4
120 142 5
121 143 3
122 144 1
123 145 6
124 146 9
125 147 5
126 148 7
127 148 4
128 149 3
129 150 9
130 151 6
131 152 8
132 153 5
133 154 2
134 155 6
135 156 5
136 157 4
137 158 8
138 159 7
139 160 1
140 161 5
141 162 1
142 163 5
143 164 7
144 165 9
145 166 6
146 167 9
147 168 8
148 169 5
149 170 7
150 171 5
151 172 3
152 173 2
153 174 7
154 175 9
155 176 5
156 177 2
157 178 8
158 179 4
158 180 1
159 181 8
160 182 8
161 183 4
162 184 1
163 185 1
164 186 2
165 187 6
166 188 3
167 188 1
168 189 1
169 190 4
170 191 4
171 192 2
172 193 9
173 194 2
174 195 2
175 196 3
176 197 2
177 198 3
178 199 9
179 200 7
180 201 7
181 202 8
182 203 1
182 204 8
183 205 3
184 206 3
185 207 3
186 208 2
187 209 1
188 210 7
189 211 8
190 212 1
191 213 7
192 214 7
193 215 2
194 216 9
195 217 5
196 218 4
197 219 8
198 220 9
199 221 1
200 222 8
201 223 8
202 224 6
203 225 1
204 226 8
205 227 1
206 228 1
207 229 5
208 230 3
209 231 3
210 232 8
211 233 2
212 234 9
213 235 4
214 236 6
215 237 3
216 238 7
217 239 9
218 240 6
219 241 3
220 242 4
221 243 1
222 244 4
223 245 8
224 246 7
225 247 7
226 248 3
227 249 5
228 250 4
229 251 3
230 252 2
231 253 2
232 254 1
233 255 6
234 256 5
235 257 2
236 258 7
237 259 6
238 260 4
239 261 4
240 262 6
241 263 8
242 264 2
243 265 5
244 266 8
245 267 9
246 268 8
247 269 4
248 270 1
249 271 6
250 272 5
251 273 2
252 274 1
253 275 4
254 276 6
255 277 6
256 278 1
257 279 1
258 279 8
259 280 7
260 281 7
261 282 3
262 283 4
263 284 2
264 285 4
265 286 8
266 287 3
267 288 3
268 289 7
269 290 3
270 291 7
271 292 9
272 293 1
273 294 4
274 295 6
275 296 9
276 297 3
277 298 6
278 299 7
279 300 4
280 301 2
281 302 7
282 303 5
283 304 4
284 305 9
285 306 1
286 307 4
287 308 9
288 309 2
289 310 3
290 311 5
291 312 4
292 313 3
293 314 4
294 315 8
295 316 1
296 317 2
297 318 4
298 319 2
298 320 4
299 321 3
300 322 4
301 323 1
302 324 2
303 325 4
304 326 2
305 327 7
306 328 6
307 329 5
308 330 1
309 331 7
310 332 7
311 333 8
312 333 3
313 334 3
314 335 7
315 336 6
316 337 7
317 338 3
318 339 7
319 340 6
320 341 7
321 342 3
322 343 9
323 344 3
324 345 5
325 346 7
326 347 6
327 348 7
328 349 9
329 350 6
330 351 5
331 352 1
332 353 8
333 354 3
334 355 5
335 356 6
336 357 2
337 358 6
338 359 5
339 360 9
340 361 6
341 362 1
342 363 8
343 363 2
344 364 7
345 365 8
346 366 6
347 367 9
348 368 8
349 369 4
350 370 5
351 371 8
352 372 1
353 373 7
354 374 2
355 375 7
356 376 1
357 377 3
358 378 1
359 379 1
360 380 2
361 381 2
362 382 5
363 383 5
364 384 6
365 385 8
366 386 5
367 387 8
368 388 4
369 389 9
370 390 2
371 391 9
372 392 3
373 393 2
374 394 3
375 395 9
376 396 3
377 397 8
377 398 2
378 399 3
379 400 7
380 401 4
381 402 2
382 403 7
383 404 5
384 405 9
385 406 2
386 407 5
387 408 2
387 409 2
388 410 4
389 411 8
390 412 5
391 413 5
392 414 9
393 415 4
394 416 8
395 416 2
396 417 3
397 418 7
398 419 8
399 420 5
400 421 4
401 422 4
402 422 4
403 423 3
404 424 5
405 425 2
406 426 8
407 427 9
408 428 2
409 429 4
410 430 7
411 431 1
412 432 5
413 433 8
414 434 9
415 435 1
416 436 6
417 437 4
418 438 3
418 439 9
419 440 3
420 441 5
421 442 1
422 443 6
423 444 3
424 445 7
425 446 9
426 447 8
427 448 4
428 449 9
429 450 4
430 451 5
431 452 3
432 453 2
433 454 6
433 455 3
434 456 3
435 457 3
436 458 7
437 459 6
438 460 2
439 461 7
440 462 8
441 463 5
442 464 6
443 465 2
444 466 2
445 467 8
446 468 3
447 469 7
448 470 9
449 471 7
450 472 1
451 473 2
452 474 7
453 475 9
454 476 9
455 477 1
456 478 4
457 479 4
458 480 7
459 481 8
460 482 7
461 483 8
462 484 2
463 485 6
464 486 6
465 487 7
466 488 1
467 489 2
468 490 3
469 491 2
470 492 2
471 493 3
472 494 2
473 495 5
474 496 4
475 497 8
476 498 3
477 499 2
478 500 3
479 501 6
480 502 1
481 503 1
482 504 8
483 505 2
484 506 3
485 507 4
486 508 2
487 509 5
488 510 5
489 511 5
490 512 7
491 513 9
492 514 7
493 515 1
494 516 2
495 517 9
496 518 7
497 519 1
498 520 9
499 521 8
500 522 1
501 523 4
502 524 1
503 525 9
504 526 2
505 527 2
506 528 1
507 529 8
508 530 2
509 530 3
510 530 3
511 531 4
512 532 3
513 533 5
514 534 2
515 535 8
516 536 4
517 537 8
518 538 7
519 539 3
520 540 2
521 541 3
522 542 4
523 543 8
524 544 6
525 545 1
526 546 2
527 547 5
528 548 4
529 549 9
530 550 6
531 551 6
532 552 8
532 553 1
533 554 8
534 555 8
535 556 5
536 557 3
537 558 7
538 559 3
539 560 5
540 561 4
541 562 5
542 563 7
543 564 8
544 565 3
545 566 8
546 567 7
547 568 2
548 569 9
549 570 4
550 571 6
551 572 7
552 573 1
553 574 4
554 575 8
554 576 3
555 577 2
556 578 9
557 579 8
558 580 9
559 581 3
560 582 9
561 583 8
562 584 1
563 585 4
564 586 1
565 586 8
566 587 6
567 588 6
568 589 1
569 590 1
570 591 4
571 592 6
572 593 8
573 594 9
574 595 4
575 596 5
576 597 8
577 598 8
578 599 8
579 600 2
580 601 3
581 602 7
582 602 5
583 603 7
